Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-06-16 07:19:57,false,"Cape Town Running","20.46","1,035","1:45:46","155","181","0.0","168","180","5:10","4:21","406","407","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-14 17:53:17,false,"Cape Town Running","1.20","71","6:14.1","159","172","0.0","168","172","5:12","4:41","13","14","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-14 17:23:16,false,"Cape Town Running","5.96","233","24:46","147","178","0.0","178","192","4:09","3:33","34","35","1.35","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-14 17:15:41,false,"Cape Town Running","1.07","51","5:30.8","140","147","0.0","174","176","5:10","4:05","7","8","1.11","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-13 18:16:05,false,"Cape Town Running","10.47","585","51:02","166","182","0.0","168","176","4:52","4:07","62","62","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-12 17:52:01,false,"Cape Town Running","11.04","652","57:11","166","196","0.0","166","184","5:11","4:02","229","229","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-10 08:46:56,false,"Cape Town Running","19.30","1,050","1:38:45","161","181","0.0","172","184","5:07","3:22","382","383","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-09 12:07:26,false,"Cape Town Running","10.08","516","48:05","158","179","0.0","172","178","4:46","4:13","63","62","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-07 08:35:17,false,"Sandton Running","10.30","552","51:57","157","174","0.0","172","180","5:03","0:52","184","179","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-06 05:41:27,false,"Umhlanga Running","7.36","443","40:02","161","184","0.0","168","186","5:26","1:46","162","163","1.09","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-05 07:43:02,false,"uMngeni Running","11.64","730","1:04:23","165","180","0.0","166","208","5:32","3:33","348","345","1.09","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-03 10:51:29,false,"Cape Town Running","15.17","951","1:25:37","161","187","0.0","166","248","5:39","3:19","451","451","1.06","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-02 17:21:11,false,"Cape Town Running","9.44","417","45:02","145","177","0.0","172","180","4:46","0:50","102","103","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-31 18:16:13,false,"Cape Town Running","8.17","480","41:13","163","177","0.0","170","184","5:03","3:59","100","101","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-30 18:25:39,false,"Cape Town Running","0.79","55","4:39.0","159","169","0.0","158","168","5:52","5:22","2","9","1.08","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-30 18:01:51,false,"Cape Town Running","5.10","213","20:43","151","159","0.0","174","198","4:04","3:25","19","20","1.41","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-30 17:49:33,false,"Cape Town Running","1.12","60","5:50.1","150","166","0.0","170","192","5:14","2:50","9","6","1.12","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-29 07:07:31,false,"Cape Town Running","9.55","491","47:18","156","180","0.0","170","178","4:57","4:15","54","53","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-27 08:30:08,false,"Cederberg Running","11.13","574","59:12","153","179","0.0","168","176","5:19","4:06","212","209","1.12","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-26 08:01:27,false,"Cederberg Running","10.00","714","1:02:10","170","192","0.0","160","176","6:13","4:38","253","250","1.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-25 06:04:02,false,"Cape Town Running","8.30","501","42:31","162","176","0.0","170","178","5:07","4:25","59","60","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-23 17:55:25,false,"Cape Town Running","9.13","376","44:52","141","172","0.0","174","220","4:55","2:56","16","15","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-21 16:49:43,false,"Cape Town Running","7.92","295","40:11","130","152","0.0","172","188","5:04","3:22","43","42","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-19 08:30:25,false,"Cape Town Running","16.09","889","1:21:33","156","176","0.0","170","180","5:04","3:27","236","237","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-18 06:03:07,false,"Cape Town Running","8.06","482","41:52","157","179","0.0","168","178","5:12","4:24","51","54","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-16 18:01:32,false,"Cape Town Running","7.71","409","42:43","144","169","0.0","156","220","5:33","2:55","15","16","1.11","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-14 17:53:56,false,"Cape Town Running","7.09","286","38:03","128","151","0.0","170","184","5:22","2:16","43","45","1.09","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-13 15:59:09,false,"Cape Town Running","7.20","388","32:40","162","185","0.0","172","178","4:32","3:47","51","52","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
